block_id,xcentre,ycentre,zcentre,xlength,ylength,zlength,volume,poly
1461522,72465.0000,83195.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.223951
1461523,72475.0000,83195.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.228122
1462632,72465.0000,83205.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.430930
1462633,72475.0000,83205.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1462634,72465.0000,83215.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.459418
1462635,72475.0000,83215.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1462640,72485.0000,83205.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.499800
1462642,72485.0000,83215.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1462643,72495.0000,83215.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.500000
1463744,72465.0000,83225.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.487906
1463745,72475.0000,83225.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1463746,72465.0000,83235.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.516394
1463747,72475.0000,83235.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1463752,72485.0000,83225.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1463753,72495.0000,83225.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1463754,72485.0000,83235.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1463755,72495.0000,83235.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1463760,72505.0000,83225.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.049241
1463762,72505.0000,83235.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.147522
1464856,72465.0000,83245.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.544882
1464857,72475.0000,83245.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1464858,72465.0000,83255.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.573369
1464859,72475.0000,83255.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1464864,72485.0000,83245.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1464865,72495.0000,83245.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.727904
1464866,72485.0000,83255.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1464867,72495.0000,83255.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.319779
1464872,72505.0000,83245.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.129321
1465968,72465.0000,83265.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.601857
1465969,72475.0000,83265.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1465970,72465.0000,83275.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.630345
1465971,72475.0000,83275.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1465976,72485.0000,83265.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1465977,72495.0000,83265.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.416910
1465978,72485.0000,83275.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1465979,72495.0000,83275.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.514041
1467080,72465.0000,83285.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.658833
1467081,72475.0000,83285.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1467082,72465.0000,83295.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.605163
1467083,72475.0000,83295.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.799131
1467088,72485.0000,83285.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,1.000000
1467089,72495.0000,83285.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.611172
1467090,72485.0000,83295.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.700840
1467091,72495.0000,83295.0000,2345.0000,10.0000,10.0000,10.0000,1000.0000,0.425125
